tenth_pct,twelfth_pct,graduation_pct,skill_count,skills,interest,city,career,salary
59.02,59.65,60.02,3,"sql,linux,ml",data,Hyderabad,Software Development,5.41
63.94,51.24,46.94,5,"css,excel,linux,sql,git",data,Delhi,IT Support / Operations,2.0
78.69,71.94,73.59,3,"linux,dl,sql",ai,Delhi,AI / Data Science,9.09
99.0,99.0,93.83,4,"git,java,python,css",data,Hyderabad,Data Analyst,10.95
70.26,57.45,42.58,3,"linux,dl,c++",security,Pune,IT Support / Operations,3.29
74.61,76.98,54.28,3,"css,excel,ml",data,Delhi,Software Development,7.2
81.83,83.38,80.59,5,"sql,c++,dl,linux,js",data,Delhi,AI / Data Science,11.94
96.5,89.87,72.8,4,"ml,excel,js,dl",mobile,Jaipur,AI / Data Science,13.21
85.74,96.69,66.13,4,"python,js,c++,html",data,Patna,Software Development,8.76
94.01,99.0,80.2,3,"git,python,java",security,Noida,Software Development,10.77
99.0,90.19,89.11,2,"css,python",web,Noida,Software Development,9.12
71.29,59.82,54.36,2,"sql,c++",web,Bangalore,Software Development,3.94
69.16,73.8,55.66,0,,security,Jaipur,Software Development,5.27
78.95,91.14,49.88,0,,cloud,Bangalore,Software Development,6.19
51.88,48.75,42.84,6,"aws,html,js,dl,linux,java",data,Kolkata,IT Support / Operations,2.0
85.14,68.51,63.61,1,python,web,Bangalore,Software Development,5.98
71.08,77.12,65.88,1,python,ai,Bangalore,Software Development,6.65
74.32,62.13,64.14,0,,web,Bangalore,Software Development,6.59
88.03,78.99,72.7,6,"excel,dl,git,sql,linux,c++",security,Patna,AI / Data Science,10.38
63.1,64.57,57.51,3,"c++,js,python",web,Patna,Software Development,7.15
71.99,87.25,70.15,4,"java,c++,aws,html",security,Jaipur,Cyber Security,9.14
84.83,77.83,63.73,4,"sql,aws,excel,java",govt,Bangalore,Software Development,9.6
83.75,86.42,77.86,2,"java,js",mobile,Noida,Software Development,9.13
99.0,92.81,67.18,0,,cloud,Bhopal,Software Development,10.16
92.46,97.84,71.57,3,"aws,git,c++",govt,Jaipur,Software Development,12.06
84.29,79.58,66.29,5,"linux,ml,git,css,js",web,Delhi,AI / Data Science,9.67
72.68,73.34,59.58,3,"excel,sql,linux",web,Lucknow,Data Analyst,5.47
76.03,76.03,64.49,1,dl,security,Lucknow,AI / Data Science,8.86
90.48,82.47,89.97,8,"ml,dl,linux,js,aws,excel,html,git",web,Delhi,AI / Data Science,13.25
93.26,99.0,68.26,2,"html,excel",cloud,Jaipur,Software Development,9.71
81.91,71.9,71.23,3,"ml,dl,git",govt,Patna,AI / Data Science,7.8
71.46,79.24,62.5,2,"css,excel",cloud,Lucknow,Data Analyst,7.67
80.35,72.52,66.77,0,,security,Bhopal,Cyber Security,7.49
99.0,99.0,81.36,6,"ml,linux,js,excel,git,dl",security,Bangalore,AI / Data Science,11.98
66.29,74.72,51.76,7,"dl,js,excel,java,linux,c++,sql",security,Delhi,Software Development,8.91
69.56,69.28,72.76,2,"dl,python",data,Delhi,Data Analyst,8.08
77.11,82.07,67.13,0,,mobile,Kolkata,Software Development,7.5
73.41,74.24,57.4,0,,mobile,Noida,Software Development,6.22
89.26,85.13,71.81,2,"ml,js",ai,Lucknow,AI / Data Science,7.5
86.75,85.01,78.08,4,"excel,dl,git,ml",data,Patna,AI / Data Science,10.77
58.74,63.28,46.26,1,dl,cloud,Patna,IT Support / Operations,3.24
75.0,67.38,57.63,4,"excel,html,python,css",govt,Pune,Software Development,5.77
73.01,72.18,64.94,5,"git,linux,css,ml,excel",web,Delhi,Cyber Security,7.9
85.6,87.22,58.36,6,"js,git,css,excel,python,html",data,Kolkata,Software Development,10.84
85.9,99.0,73.3,2,"dl,java",ai,Lucknow,AI / Data Science,7.15
67.56,77.2,63.41,5,"sql,js,git,html,dl",security,Patna,Data Analyst,5.75
66.86,71.62,66.79,3,"css,java,python",data,Jaipur,Data Analyst,6.01
70.86,62.93,58.06,2,"css,git",data,Bangalore,Data Analyst,5.66
90.88,82.67,71.81,2,"linux,git",data,Jaipur,Cyber Security,8.67
91.52,86.98,78.32,5,"html,python,git,excel,aws",security,Delhi,Data Analyst,8.77
83.17,85.12,66.15,6,"js,ml,dl,c++,git,aws",data,Bhopal,AI / Data Science,10.26
72.22,85.23,45.26,3,"aws,sql,ml",ai,Hyderabad,Software Development,6.9
88.09,82.87,66.26,0,,security,Hyderabad,Software Development,7.47
78.57,66.79,60.16,5,"c++,java,excel,css,js",mobile,Lucknow,Software Development,7.11
85.59,77.76,69.98,3,"ml,aws,html",govt,Bangalore,AI / Data Science,10.93
71.58,82.12,65.37,7,"linux,java,git,python,html,ml,js",web,Noida,AI / Data Science,9.62
84.27,79.68,67.19,7,"ml,js,linux,c++,dl,excel,python",security,Hyderabad,AI / Data Science,11.89
76.67,84.13,73.27,0,,data,Lucknow,Software Development,6.76
85.2,94.27,62.59,0,,web,Jaipur,Software Development,7.28
76.3,69.14,59.79,6,"ml,linux,excel,html,aws,java",cloud,Pune,Cloud / DevOps,7.36
91.29,85.63,59.48,2,"sql,js",govt,Bangalore,Data Analyst,5.62
92.47,99.0,78.44,2,"java,ml",ai,Jaipur,AI / Data Science,12.89
70.51,66.22,71.58,5,"css,js,git,java,excel",mobile,Lucknow,Data Analyst,5.82
79.1,79.61,66.51,2,"dl,c++",web,Lucknow,AI / Data Science,8.88
89.56,92.02,69.96,3,"sql,git,aws",web,Lucknow,Software Development,10.12
74.97,77.7,74.92,4,"ml,linux,dl,python",cloud,Delhi,AI / Data Science,10.26
79.45,71.22,52.51,0,,security,Bhopal,Software Development,5.74
99.0,99.0,76.7,0,,mobile,Hyderabad,Software Development,11.58
88.26,96.09,85.07,4,"aws,css,sql,python",web,Bangalore,Data Analyst,8.09
64.76,66.2,66.97,5,"html,ml,linux,js,aws",mobile,Bhopal,Software Development,5.9
68.13,66.93,53.58,4,"java,aws,sql,python",mobile,Kolkata,Data Analyst,6.58
74.96,77.49,75.43,2,"css,html",cloud,Delhi,Software Development,6.86
85.61,88.92,69.6,3,"aws,c++,ml",security,Jaipur,AI / Data Science,9.51
97.67,99.0,74.41,4,"linux,excel,sql,git",mobile,Bangalore,Software Development,11.77
71.75,73.39,50.04,4,"dl,python,html,js",security,Lucknow,Software Development,7.98
56.45,66.94,58.74,2,"aws,linux",data,Bhopal,Data Analyst,3.9
70.22,72.4,66.42,1,js,web,Patna,Software Development,5.08
84.1,75.27,48.55,3,"dl,git,excel",cloud,Noida,Software Development,9.86
99.0,99.0,76.41,2,"ml,python",web,Patna,AI / Data Science,9.31
75.38,67.19,62.31,3,"git,js,aws",data,Bangalore,Data Analyst,6.13
81.4,75.05,69.08,0,,web,Bhopal,Software Development,6.72
57.11,51.44,54.83,3,"java,excel,sql",web,Pune,IT Support / Operations,2.16
76.46,84.37,62.23,0,,mobile,Pune,Software Development,6.68
82.7,70.87,65.22,3,"aws,git,dl",data,Lucknow,AI / Data Science,9.88
50.37,46.81,37.01,0,,web,Lucknow,IT Support / Operations,3.32
70.73,76.67,63.98,5,"excel,sql,css,git,dl",ai,Jaipur,Software Development,9.57
68.37,78.76,53.65,0,,data,Delhi,Data Analyst,5.94
93.73,83.71,68.09,3,"c++,html,java",web,Hyderabad,Software Development,7.95
87.98,87.76,90.42,5,"html,dl,java,c++,css",data,Kolkata,AI / Data Science,12.28
79.77,75.9,61.83,3,"css,aws,sql",cloud,Pune,Cloud / DevOps,8.59
62.48,64.35,53.21,1,excel,mobile,Noida,Data Analyst,3.78
56.73,63.16,58.78,1,aws,data,Bhopal,Data Analyst,4.94
82.07,88.6,78.53,2,"css,java",web,Kolkata,Software Development,7.32
64.72,61.09,47.47,0,,web,Hyderabad,IT Support / Operations,2.0
73.27,69.98,48.58,0,,web,Lucknow,Software Development,5.67
78.79,87.51,56.84,3,"linux,python,js",mobile,Delhi,Cyber Security,7.66
83.76,72.84,66.33,4,"ml,sql,git,html",cloud,Patna,AI / Data Science,10.07
78.58,82.68,59.6,6,"dl,c++,aws,git,js,ml",cloud,Bangalore,AI / Data Science,11.81
75.69,86.82,57.99,2,"html,dl",data,Patna,AI / Data Science,9.89
92.72,91.92,73.0,1,js,web,Kolkata,Software Development,8.03
54.63,60.9,59.0,1,java,cloud,Kolkata,Software Development,4.69
85.33,75.17,57.59,1,java,ai,Jaipur,AI / Data Science,10.4
82.55,97.05,72.2,1,c++,mobile,Hyderabad,Software Development,9.57
69.73,67.31,51.44,0,,cloud,Patna,Software Development,5.8
96.99,99.0,93.23,8,"js,html,sql,linux,excel,dl,css,aws",security,Pune,AI / Data Science,11.54
80.41,83.31,78.25,6,"python,js,git,dl,html,java",security,Bhopal,AI / Data Science,11.52
99.0,99.0,78.55,3,"git,sql,js",mobile,Delhi,Data Analyst,8.05
83.14,81.64,75.56,6,"css,ml,linux,python,js,aws",govt,Noida,AI / Data Science,13.5
81.32,87.18,60.1,1,c++,security,Lucknow,Software Development,8.91
96.26,99.0,74.89,4,"ml,dl,html,js",mobile,Jaipur,AI / Data Science,11.58
75.31,70.56,58.36,3,"sql,aws,python",ai,Noida,Data Analyst,6.5
86.96,83.92,60.7,0,,ai,Noida,AI / Data Science,8.48
88.12,92.08,73.38,3,"excel,sql,ml",ai,Delhi,AI / Data Science,8.81
74.44,61.59,63.85,5,"dl,js,java,aws,excel",mobile,Delhi,Data Analyst,5.68
58.49,54.52,52.38,5,"sql,dl,ml,js,css",data,Noida,IT Support / Operations,3.86
90.01,68.39,70.86,2,"sql,git",data,Jaipur,Software Development,6.14
75.05,68.3,77.54,3,"c++,java,html",data,Hyderabad,Data Analyst,6.46
69.69,58.44,54.18,0,,cloud,Pune,Software Development,6.35
83.76,99.0,76.99,3,"sql,aws,c++",mobile,Noida,Software Development,10.92
69.49,72.24,65.76,4,"sql,linux,c++,css",mobile,Bangalore,Data Analyst,5.43
68.01,50.34,44.32,1,git,cloud,Patna,IT Support / Operations,3.37
81.66,82.11,87.69,3,"c++,ml,js",security,Delhi,AI / Data Science,10.29
75.77,69.62,59.49,0,,cloud,Hyderabad,Software Development,6.23
95.2,99.0,81.88,0,,cloud,Bhopal,Software Development,8.65
80.73,63.8,70.78,2,"dl,java",data,Delhi,Data Analyst,5.94
77.83,82.2,66.06,2,"c++,ml",web,Pune,AI / Data Science,9.23
73.04,81.6,60.33,0,,govt,Bangalore,Software Development,6.88
82.77,72.62,65.37,4,"linux,dl,aws,js",data,Noida,AI / Data Science,9.14
81.52,72.06,59.58,4,"dl,c++,html,js",data,Pune,Software Development,6.3
80.89,83.02,81.52,3,"excel,aws,html",mobile,Kolkata,Software Development,9.15
99.0,99.0,95.96,2,"ml,excel",mobile,Bangalore,AI / Data Science,11.95
94.69,86.5,67.06,1,aws,data,Lucknow,Data Analyst,6.63
80.54,94.35,70.22,2,"dl,sql",mobile,Bhopal,AI / Data Science,11.64
69.65,77.34,52.43,6,"js,linux,html,c++,excel,dl",web,Lucknow,Software Development,8.56
83.12,80.41,54.49,1,java,cloud,Pune,Software Development,6.86
61.41,55.79,55.69,4,"python,java,html,js",cloud,Bhopal,IT Support / Operations,4.12
84.29,70.38,58.57,6,"java,linux,html,excel,css,js",web,Hyderabad,Data Analyst,8.15
67.59,62.33,53.04,0,,data,Noida,Data Analyst,3.8
77.21,93.07,82.15,1,sql,data,Patna,Data Analyst,7.85
74.58,71.08,62.1,3,"git,css,excel",cloud,Bangalore,Software Development,7.24
85.47,76.36,74.95,3,"git,css,html",data,Pune,Software Development,10.99
66.09,74.11,63.21,3,"java,js,linux",ai,Noida,Software Development,8.67
99.0,99.0,79.15,3,"html,java,sql",security,Hyderabad,Cyber Security,11.31
85.1,82.27,63.99,3,"css,sql,ml",ai,Jaipur,AI / Data Science,11.35
75.32,87.24,54.09,1,html,cloud,Bhopal,Software Development,7.24
80.77,70.69,58.08,2,"sql,css",mobile,Bangalore,Data Analyst,5.86
81.61,95.57,73.34,2,"css,git",web,Kolkata,Software Development,8.29
80.7,87.43,63.9,7,"excel,linux,c++,js,sql,html,aws",data,Hyderabad,Cyber Security,7.94
77.65,95.87,75.11,3,"python,js,c++",data,Noida,Software Development,10.36
66.06,70.27,56.74,2,"dl,css",data,Patna,Software Development,6.92
71.41,81.57,74.48,4,"dl,c++,python,linux",security,Kolkata,AI / Data Science,13.39
60.44,78.49,56.17,2,"js,ml",web,Kolkata,Software Development,5.93
59.68,59.95,53.58,2,"js,python",cloud,Jaipur,IT Support / Operations,3.04
89.06,88.04,84.07,1,linux,security,Pune,Software Development,8.98
70.16,79.87,63.02,5,"dl,java,git,sql,css",cloud,Patna,Data Analyst,8.44
67.87,63.21,51.17,2,"ml,sql",web,Pune,Software Development,5.87
72.43,76.12,68.26,2,"sql,linux",mobile,Kolkata,Data Analyst,6.89
94.82,99.0,65.81,5,"sql,linux,aws,ml,c++",web,Bhopal,AI / Data Science,10.44
74.71,76.47,61.27,2,"ml,sql",mobile,Jaipur,Software Development,7.12
54.42,35.0,42.45,1,dl,ai,Bhopal,IT Support / Operations,2.0
78.08,72.8,68.4,4,"python,html,sql,linux",govt,Noida,Data Analyst,7.5
75.8,65.04,64.75,2,"java,ml",govt,Bhopal,Software Development,6.6
69.56,77.01,75.81,2,"excel,ml",data,Bhopal,AI / Data Science,8.69
57.98,47.35,47.49,5,"html,linux,ml,sql,css",security,Lucknow,IT Support / Operations,2.55
89.38,79.09,69.67,4,"sql,python,html,ml",web,Pune,AI / Data Science,11.14
64.22,70.77,69.55,1,js,security,Pune,Cyber Security,6.31
97.97,99.0,72.02,6,"html,linux,css,ml,sql,excel",govt,Kolkata,AI / Data Science,11.23
86.37,86.17,87.24,2,"css,excel",data,Delhi,Software Development,10.36
92.63,99.0,81.77,1,aws,web,Noida,Software Development,9.95
61.81,48.06,58.65,4,"js,aws,html,excel",web,Delhi,IT Support / Operations,3.21
90.88,99.0,70.17,0,,data,Hyderabad,Data Analyst,9.69
68.8,64.4,63.5,2,"excel,html",ai,Delhi,Software Development,6.62
78.51,70.48,68.99,5,"dl,ml,sql,linux,css",ai,Pune,AI / Data Science,9.5
79.87,80.75,67.22,4,"java,sql,aws,css",security,Noida,Cyber Security,8.35
95.37,96.22,74.46,5,"sql,python,ml,git,c++",ai,Jaipur,AI / Data Science,11.8
98.94,96.69,81.87,2,"python,git",data,Bhopal,Software Development,9.61
52.89,64.2,61.72,0,,mobile,Delhi,Software Development,6.21
77.91,80.75,65.17,1,c++,ai,Noida,AI / Data Science,9.04
99.0,99.0,70.53,5,"js,sql,c++,java,aws",ai,Jaipur,AI / Data Science,10.47
75.56,69.16,60.15,5,"aws,html,dl,git,linux",cloud,Lucknow,Cloud / DevOps,8.29
92.4,88.47,58.29,4,"python,sql,excel,html",mobile,Lucknow,Software Development,8.66
77.92,82.71,71.57,2,"js,java",cloud,Noida,Software Development,8.17
94.84,99.0,74.3,2,"ml,linux",cloud,Hyderabad,AI / Data Science,10.23
90.73,99.0,71.16,6,"html,git,css,java,c++,js",web,Delhi,Software Development,8.48
89.12,80.33,70.09,3,"aws,ml,dl",mobile,Jaipur,AI / Data Science,9.18
95.22,91.54,74.83,3,"c++,excel,linux",web,Lucknow,Software Development,10.0
99.0,89.59,67.39,1,sql,govt,Hyderabad,Data Analyst,8.03
83.81,77.65,63.3,2,"sql,ml",web,Kolkata,AI / Data Science,9.3
80.8,72.23,72.0,3,"ml,python,git",web,Bangalore,AI / Data Science,9.56
86.58,94.09,70.4,2,"html,git",web,Delhi,Software Development,9.0
73.98,76.72,75.18,5,"git,js,dl,python,html",ai,Hyderabad,AI / Data Science,9.44
80.63,77.27,67.26,6,"sql,aws,linux,html,java,css",mobile,Bhopal,Cyber Security,10.06
67.25,75.22,62.18,3,"dl,java,sql",cloud,Noida,Software Development,6.84
94.41,93.64,65.64,3,"css,python,js",data,Delhi,Data Analyst,7.43
88.21,99.0,74.92,1,c++,web,Patna,Software Development,8.5
64.9,66.64,56.21,0,,ai,Hyderabad,Software Development,6.4
72.91,81.19,61.75,5,"java,linux,sql,aws,css",cloud,Patna,Cloud / DevOps,10.28
78.46,81.61,65.37,3,"excel,dl,sql",govt,Hyderabad,AI / Data Science,9.74
78.81,82.37,63.61,1,js,web,Bangalore,Software Development,6.7
67.36,71.64,68.48,2,"c++,linux",cloud,Jaipur,Cloud / DevOps,8.56
88.37,99.0,76.22,7,"linux,css,dl,c++,java,python,git",data,Kolkata,AI / Data Science,11.66
81.77,70.37,69.75,1,html,web,Noida,Software Development,8.12
71.58,74.44,55.26,4,"c++,java,python,linux",security,Hyderabad,Cyber Security,7.24
58.3,50.33,38.16,4,"python,linux,dl,c++",ai,Bangalore,IT Support / Operations,4.37
89.9,98.2,67.13,0,,security,Patna,Cyber Security,7.99
89.3,84.14,54.74,3,"css,dl,python",security,Patna,AI / Data Science,10.4
66.61,80.59,68.98,2,"java,html",web,Pune,Software Development,8.67
74.89,77.71,58.85,0,,data,Jaipur,Software Development,7.03
99.0,99.0,77.57,5,"css,excel,aws,linux,sql",cloud,Bhopal,Cloud / DevOps,11.75
67.96,70.54,56.69,4,"git,python,css,sql",mobile,Kolkata,Data Analyst,7.1
72.83,71.66,61.61,2,"excel,c++",govt,Hyderabad,Software Development,6.56
83.04,83.69,63.31,3,"c++,sql,dl",security,Hyderabad,AI / Data Science,9.46
71.6,73.41,75.45,0,,govt,Jaipur,Software Development,6.16
75.52,80.4,65.83,2,"css,sql",ai,Noida,AI / Data Science,9.39
65.17,50.87,59.87,5,"dl,excel,python,html,aws",cloud,Lucknow,Software Development,7.96
95.15,99.0,73.46,7,"c++,java,python,excel,dl,linux,ml",govt,Kolkata,AI / Data Science,12.61
77.32,87.07,51.93,2,"sql,aws",govt,Bhopal,Software Development,7.32
84.96,79.3,74.34,7,"ml,c++,linux,css,html,java,aws",data,Jaipur,AI / Data Science,12.16
64.06,61.79,51.64,0,,security,Pune,Software Development,5.03
71.91,67.16,57.83,3,"dl,linux,ml",mobile,Hyderabad,Software Development,6.41
89.42,81.25,73.52,3,"java,dl,git",mobile,Pune,AI / Data Science,7.41
73.5,65.19,45.49,0,,web,Pune,Software Development,5.78
81.77,91.45,79.26,2,"sql,html",govt,Hyderabad,Software Development,8.46
82.26,74.63,65.79,3,"java,js,python",mobile,Jaipur,Software Development,7.58
92.89,87.27,91.18,4,"css,ml,js,java",ai,Jaipur,AI / Data Science,11.87
67.87,54.52,54.12,0,,web,Noida,Software Development,2.12
92.2,82.78,84.58,7,"js,java,dl,ml,git,html,python",ai,Bhopal,AI / Data Science,11.12
86.52,95.1,76.17,3,"html,js,css",security,Bangalore,Cyber Security,7.75
90.09,80.05,71.03,5,"python,java,dl,c++,aws",govt,Bangalore,AI / Data Science,9.1
88.49,91.48,81.81,1,sql,mobile,Jaipur,Data Analyst,8.53
77.0,51.5,60.43,2,"css,dl",govt,Jaipur,Software Development,7.69
80.72,93.19,62.17,2,"python,dl",govt,Noida,AI / Data Science,7.34
71.26,79.37,56.18,0,,data,Bangalore,Software Development,7.1
82.34,96.43,72.57,1,python,security,Kolkata,Cyber Security,9.55
89.06,83.03,78.38,4,"dl,html,python,ml",data,Delhi,AI / Data Science,10.86
82.93,77.34,75.4,3,"sql,git,js",govt,Kolkata,Data Analyst,8.17
80.62,72.79,62.99,3,"ml,html,sql",data,Bhopal,AI / Data Science,10.72
95.78,77.66,63.22,0,,govt,Bangalore,Software Development,6.57
67.94,63.91,54.53,2,"html,java",cloud,Bhopal,Software Development,6.44
94.69,95.68,70.3,3,"dl,ml,git",data,Hyderabad,AI / Data Science,11.78
99.0,95.76,82.1,5,"java,linux,ml,dl,c++",cloud,Lucknow,AI / Data Science,12.81
79.51,77.73,81.41,2,"dl,python",web,Delhi,AI / Data Science,9.44
72.89,76.66,51.35,2,"html,js",cloud,Jaipur,Software Development,7.4
73.35,70.96,51.1,2,"python,git",mobile,Jaipur,Software Development,6.28
63.4,61.72,49.66,1,linux,security,Bhopal,Software Development,7.24
99.0,99.0,87.49,4,"git,java,css,c++",data,Kolkata,Software Development,9.38
66.92,70.91,59.51,2,"css,aws",mobile,Patna,Software Development,6.33
77.23,69.15,57.11,5,"excel,python,java,aws,linux",web,Lucknow,Software Development,8.35
72.45,79.71,64.16,3,"excel,c++,html",data,Delhi,Software Development,8.04
81.38,82.66,64.49,2,"python,sql",cloud,Kolkata,Software Development,6.87
94.42,85.07,51.8,1,excel,security,Bhopal,Cyber Security,7.71
77.58,69.24,71.2,2,"java,sql",ai,Lucknow,AI / Data Science,10.54
55.92,55.66,54.18,2,"git,dl",govt,Delhi,IT Support / Operations,3.16
90.89,92.69,81.48,3,"git,linux,ml",cloud,Hyderabad,AI / Data Science,12.46
69.73,70.88,56.1,3,"css,linux,js",mobile,Bhopal,Software Development,6.81
89.99,99.0,82.18,5,"c++,linux,html,sql,python",security,Pune,Cyber Security,11.1
78.0,87.21,58.76,4,"java,python,excel,aws",cloud,Jaipur,Cloud / DevOps,9.09
75.94,72.72,60.79,6,"ml,git,python,html,c++,aws",govt,Noida,Software Development,7.13
87.86,88.22,75.35,4,"html,git,sql,ml",ai,Patna,AI / Data Science,10.59
83.56,80.68,87.51,5,"dl,java,ml,git,html",ai,Bhopal,AI / Data Science,11.2
68.97,62.66,52.93,2,"python,sql",govt,Jaipur,Data Analyst,6.21
88.47,79.32,75.29,3,"git,dl,sql",ai,Lucknow,AI / Data Science,10.35
95.54,80.78,69.87,0,,data,Bhopal,Data Analyst,5.6
88.77,84.66,69.04,5,"excel,linux,git,python,c++",web,Patna,Cyber Security,9.37
76.3,66.22,54.51,2,"git,java",cloud,Hyderabad,Software Development,7.19
72.18,64.22,72.36,0,,security,Patna,Software Development,6.36
91.57,91.04,74.95,1,c++,mobile,Delhi,Software Development,7.82
91.28,90.61,73.26,5,"html,java,python,git,ml",web,Hyderabad,AI / Data Science,12.26
69.69,53.94,54.1,6,"python,aws,linux,html,ml,excel",govt,Hyderabad,Software Development,6.67
88.99,85.67,76.31,6,"js,git,html,sql,python,dl",mobile,Jaipur,AI / Data Science,11.45
80.82,70.22,57.59,0,,web,Jaipur,Software Development,7.55
83.51,85.38,72.67,1,linux,security,Pune,Software Development,7.02
81.09,79.16,66.15,2,"linux,sql",govt,Bangalore,Data Analyst,8.5
87.04,85.16,59.38,3,"aws,js,linux",mobile,Jaipur,Cyber Security,9.83
73.41,72.42,57.86,0,,security,Jaipur,Software Development,8.0
48.22,53.97,50.1,3,"java,linux,aws",data,Delhi,IT Support / Operations,2.86
83.53,82.94,74.54,7,"html,css,excel,java,js,c++,git",ai,Jaipur,AI / Data Science,10.47
76.23,85.13,68.38,1,c++,ai,Bhopal,AI / Data Science,10.59
83.68,81.97,73.28,2,"java,css",ai,Delhi,AI / Data Science,12.53
78.78,73.8,64.28,3,"excel,dl,linux",cloud,Noida,AI / Data Science,7.24
86.38,84.36,81.86,4,"dl,html,aws,excel",govt,Bangalore,AI / Data Science,11.33
82.56,78.11,65.19,6,"git,html,dl,sql,java,python",mobile,Delhi,AI / Data Science,9.39
76.6,89.92,61.21,0,,ai,Jaipur,AI / Data Science,9.66
63.75,65.2,64.85,4,"html,aws,linux,python",cloud,Bangalore,Cyber Security,6.83
90.1,85.7,58.36,5,"python,sql,excel,linux,git",security,Kolkata,Software Development,9.07
55.99,61.44,55.11,3,"ml,aws,html",ai,Delhi,IT Support / Operations,3.65
84.96,89.31,65.43,3,"ml,js,dl",ai,Kolkata,AI / Data Science,8.86
82.55,91.48,82.98,3,"js,java,git",cloud,Hyderabad,Software Development,11.83
87.04,91.98,70.69,5,"aws,js,java,sql,ml",web,Hyderabad,AI / Data Science,12.68
82.33,75.42,64.96,3,"excel,git,linux",web,Patna,Data Analyst,7.43
66.18,67.77,56.25,1,dl,web,Bhopal,Software Development,7.05
81.26,77.24,54.18,4,"excel,python,js,aws",govt,Delhi,Data Analyst,9.56
66.6,65.01,57.53,0,,data,Lucknow,Data Analyst,4.13
80.18,83.86,68.97,1,git,web,Kolkata,Software Development,8.08
99.0,96.71,65.6,1,linux,cloud,Delhi,Cloud / DevOps,9.71
73.66,70.4,72.19,2,"js,java",security,Pune,Software Development,7.5
75.22,64.61,69.87,3,"git,sql,java",security,Patna,Cyber Security,7.07
58.52,52.6,43.74,1,excel,govt,Patna,IT Support / Operations,2.0
91.75,85.53,84.52,1,dl,security,Kolkata,AI / Data Science,11.63
70.78,69.13,55.77,0,,web,Patna,Software Development,6.66
82.58,85.07,56.52,0,,mobile,Pune,Software Development,8.26
75.39,79.61,60.43,1,excel,data,Bangalore,Software Development,7.25
91.7,88.16,72.81,3,"git,sql,python",ai,Jaipur,AI / Data Science,11.94
85.84,91.25,70.92,0,,ai,Jaipur,AI / Data Science,9.35
91.17,78.64,45.37,3,"c++,excel,java",ai,Delhi,Software Development,7.26
92.22,99.0,73.85,2,"linux,excel",mobile,Patna,Cyber Security,9.72
78.55,83.01,81.4,3,"linux,excel,ml",govt,Patna,AI / Data Science,10.26
92.14,81.15,74.81,7,"linux,c++,ml,html,js,aws,css",mobile,Patna,AI / Data Science,11.89
76.98,89.06,70.96,6,"js,css,linux,git,sql,ml",govt,Jaipur,AI / Data Science,7.88
85.1,85.67,73.54,5,"ml,dl,html,linux,python",mobile,Noida,AI / Data Science,11.02
87.11,84.78,69.68,4,"git,excel,python,java",mobile,Patna,Data Analyst,8.04
80.01,92.19,70.88,7,"linux,ml,git,html,css,sql,excel",security,Lucknow,AI / Data Science,11.63
76.33,85.97,63.27,2,"css,ml",govt,Noida,AI / Data Science,10.97
